                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0608,                  2.228,                 1.4779,                0.24375,                0.33663,                 0.1562,                 0.0765,                 1.5521,                 4.3617,                  1.225,                  2e-05,                  2e-05,                  2e-05
                      2,                  1.782,                 1.9665,                 1.3651,                0.48807,                0.63366,                0.50487,                0.28207,                  1.412,                 2.4828,                 1.1451,              5.703e-05,              5.703e-05,              5.703e-05
                      3,                 1.5588,                 1.3773,                 1.2106,                0.61558,                0.81188,                0.76898,                0.47169,                 1.2826,                  2.342,                 1.0919,               9.01e-05,               9.01e-05,               9.01e-05
                      4,                 1.3554,                 1.3503,                 1.1175,                0.74894,                0.70297,                0.80098,                0.47668,                  1.319,                 2.3492,                 1.0824,             0.00011921,             0.00011921,             0.00011921
                      5,                 1.3845,                 1.3452,                 1.1011,                0.75328,                0.71287,                 0.7965,                0.49449,                 1.3215,                 1.9464,                 1.0425,             0.00014436,             0.00014436,             0.00014436
                      6,                 1.3586,                 1.2785,                 1.0819,                0.74322,                0.82178,                0.87234,                0.55872,                 1.1909,                 1.8484,                0.99086,             0.00016555,             0.00016555,             0.00016555
                      7,                 1.3951,                 1.3507,                  1.077,                0.89027,                0.72295,                0.89455,                0.58927,                 1.1788,                 1.5422,                0.99314,             0.00018278,             0.00018278,             0.00018278
                      8,                 1.2898,                 1.0346,                 1.0729,                0.83213,                0.82178,                 0.8816,                0.57763,                 1.1669,                 1.3448,                0.99268,             0.00019605,             0.00019605,             0.00019605
                      9,                 1.2425,                0.99519,                 1.0295,                0.82816,                0.86139,                0.87748,                0.58696,                 1.1298,                 1.3855,                0.99037,             0.00020536,             0.00020536,             0.00020536
                     10,                 1.2209,                 1.0567,                 1.0236,                0.80325,                0.84886,                0.88466,                0.59017,                 1.1168,                 1.2656,                0.99205,             0.00021071,             0.00021071,             0.00021071
                     11,                  1.389,                 1.9175,                 1.0956,                0.82432,                0.81188,                 0.8847,                0.60913,                 1.1032,                 1.1456,                0.98804,              0.0002121,              0.0002121,              0.0002121
                     12,                 1.1075,                 1.1715,                0.97986,                 0.8568,                0.75248,                0.85937,                0.59593,                   1.12,                 1.1545,                0.99001,             0.00020953,             0.00020953,             0.00020953
                     13,                 1.1959,                 1.1865,                0.99527,                0.87513,                0.78218,                0.86004,                0.59237,                 1.1318,                 1.1843,                0.98996,               0.000203,               0.000203,               0.000203
                     14,                 1.1251,                   1.22,                0.98302,                0.89331,                0.74257,                0.85935,                 0.5925,                 1.1245,                 1.2376,                0.98359,             0.00019251,             0.00019251,             0.00019251
                     15,                 1.0948,                 1.0626,                0.94148,                0.89762,                0.74257,                0.86593,                0.59803,                 1.1058,                 1.2065,                0.97958,             0.00017806,             0.00017806,             0.00017806
                     16,                 1.2265,                 1.0742,                0.92417,                0.84771,                 0.8267,                0.87702,                0.60818,                  1.088,                 1.1387,                 0.9713,             0.00015965,             0.00015965,             0.00015965
                     17,                 1.1258,                 1.0881,                0.96271,                0.81416,                0.85149,                0.87999,                0.61324,                 1.0713,                 1.0982,                0.96798,             0.00013728,             0.00013728,             0.00013728
                     18,                 1.0932,                  1.028,                 0.9823,                0.82914,                0.86486,                0.88036,                0.62069,                 1.0494,                 1.0576,                0.96308,             0.00011095,             0.00011095,             0.00011095
                     19,                 1.1104,                 1.0242,                0.95604,                0.88296,                0.82161,                0.88034,                0.62867,                 1.0367,                  1.028,                0.96061,              8.066e-05,              8.066e-05,              8.066e-05
                     20,                 1.1053,                0.90764,                0.93958,                0.89199,                0.81771,                0.88314,                0.63604,                 1.0324,                 1.0027,                 0.9595,              4.641e-05,              4.641e-05,              4.641e-05
